Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Mozambique,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",121.37208758400001,95.2516128893,152.977149998
Mauritius,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",493.326044127,408.06187681200004,589.095936651
Malawi,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",115.516509472,87.4505731236,147.979068146
Rwanda,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",105.025200055,84.9113467426,129.973458997
Somalia,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",96.5658054258,76.9394016491,122.23762795200001
Zambia,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",102.70657784000001,77.40108670389999,132.981902681
Kenya,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",91.7638340039,72.1097721816,114.94419148200001
Madagascar,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",87.4021268106,68.3588859245,109.665316641
South Sudan,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",95.6978902652,73.991229498,121.756271023
Seychelles,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",452.16390219699997,374.984304364,542.187476551
Tanzania,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",116.51650070099998,93.0623713091,143.660575341
Uganda,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",83.2172384104,67.296888525,103.011386735
Zimbabwe,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",131.773579757,102.55962142899999,167.40799259000002
Ethiopia,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",117.942324324,93.5561790849,148.26796828
Eritrea,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",84.1436044447,67.2642201349,105.048652637
Djibouti,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",136.71827452300002,104.220723756,173.190806453
Comoros,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",103.653296598,84.3284261369,127.15011536799999
Burundi,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",80.18611499480001,64.1664493941,100.197478643
Gabon,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",290.728491507,233.460594152,358.83195926300004
Equatorial Guinea,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",151.315236851,101.099210228,211.170563185
Chad,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",71.4078730483,57.84104084050001,87.6846786339
Sao Tome and Principe,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",100.67180776400001,80.6681888902,124.87728774099999
Congo,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",181.411973922,146.904757775,220.864903636
Democratic Republic of the Congo,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",130.182462651,105.57807823299999,160.05643497699998
Cameroon,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",100.849277132,77.7640002987,129.483331759
Central African Republic,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",170.188593065,132.098250499,214.29344047799998
Angola,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",105.644054154,81.0506223007,135.721090321
Morocco,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",374.80402927800003,306.009299038,457.026654903
Libya,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",291.774637704,239.242930934,354.51286317
Tunisia,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",518.5291705970001,421.282326949,636.198753602
Algeria,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",388.535116199,322.552529932,468.84329720200003
Namibia,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",127.46956282,83.7504575393,170.556732226
Swaziland,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",98.35748065920001,66.0435269404,137.668314338
Lesotho,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",138.90905206899998,103.476269276,181.52161575099998
South Africa,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",209.94699195,174.97037718,255.010565981
Botswana,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",120.084031028,67.0142014412,167.358056346
Togo,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",77.1908117737,62.063575564800004,94.5357364242
Sierra Leone,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",63.745313379900004,50.6295798654,78.2512219706
Senegal,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",94.16562546189999,77.1878176111,115.728333412
Nigeria,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",58.0255282354,45.2046352765,72.94060983450001
