Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Mozambique,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",949.610008805,686.8437331900001,1236.7951612900001
Mauritius,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",2120.82796617,1562.13967938,2754.94951357
Malawi,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",929.058153197,667.855824144,1209.8450739
Rwanda,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",922.0042903369999,659.163499895,1223.32147479
Somalia,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",916.028616556,659.933804484,1192.69750789
Zambia,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",890.361618875,648.7060304160001,1160.24862331
Kenya,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1024.02311179,737.616908134,1338.74459126
Madagascar,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1030.78807517,743.631120634,1342.50199463
South Sudan,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",889.2508679309999,643.012962965,1168.6823284099999
Seychelles,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1844.8237526899998,1342.1126168199999,2406.06162563
Tanzania,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",901.301575833,651.201753161,1175.47376363
Uganda,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",825.73920188,590.878280818,1078.6696321200002
Zimbabwe,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1015.98994853,733.433634091,1324.67819731
Ethiopia,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",967.666901699,695.131429686,1265.42409916
Eritrea,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",843.973425999,605.7595922950001,1111.44678483
Djibouti,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1080.38777031,785.7706208019999,1412.45931112
Comoros,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1074.08284817,778.6590860050001,1401.44243122
Burundi,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",920.3858833480001,660.8818392659999,1206.78165988
Gabon,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1288.48867119,943.0730219779999,1676.35150517
Equatorial Guinea,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1293.7264528800001,941.029185262,1695.15529271
Chad,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1046.17437361,747.515091487,1372.06617553
Sao Tome and Principe,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1026.74629469,736.635952111,1344.02733764
Congo,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1141.48221768,820.668048848,1488.37127506
Democratic Republic of the Congo,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1015.39284971,728.888056776,1329.0660472000002
Cameroon,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1095.96638862,786.314036217,1425.10576601
Central African Republic,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1221.86891797,886.035678079,1588.73472893
Angola,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",971.580573694,694.855006634,1282.70503441
Morocco,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",2303.81829647,1672.32695971,3012.1064656
Libya,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",2058.68834116,1467.44098845,2687.9230831200002
Tunisia,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",2431.35036973,1769.5193706799998,3170.3666678699997
Algeria,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",2093.78838467,1516.05068035,2734.63369244
Namibia,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1163.64715381,850.376388724,1520.38329867
Swaziland,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1071.1452586,788.1718051820001,1384.1861177399999
Lesotho,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1227.0691258699999,899.694021575,1588.96691651
South Africa,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1523.15143868,1117.2522207,1961.59921053
Botswana,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1310.53101795,956.67786008,1713.24368811
Togo,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1126.78751431,808.8049069399999,1463.83073266
Sierra Leone,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1090.38925378,781.0872463830001,1426.41009958
Senegal,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1047.82750259,751.489065418,1367.5164385
Nigeria,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1127.99659555,812.8665682190001,1469.8121265300001
Niger,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1011.13157303,729.829392319,1321.25346382
Mauritania,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1263.18570277,914.264121345,1639.13662084
Mali,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",939.606887847,674.8724066139999,1220.12596061
Liberia,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1102.59331305,790.2177113399999,1440.15148058
Guinea-Bissau,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1162.4407191599998,837.837306022,1511.14564008
The Gambia,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",990.430535704,718.144061461,1301.0475881300001
Guinea,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1139.77788734,819.1676210290001,1487.5511745000001
Ghana,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1115.7300203,803.5963659460001,1458.97485087
Cape Verde,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1290.23263671,932.2082176939999,1682.9284073200001
Cote d'Ivoire,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1137.60686963,819.7598737989999,1490.15570047
Burkina Faso,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1034.5722020800001,749.2860478790001,1351.18769063
Benin,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1121.64328581,809.708494471,1467.2911208
Dominica,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1820.8846826400002,1328.28668647,2358.77062678
Dominican Republic,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1565.3145905600002,1141.0351294,2054.6395465399996
Antigua and Barbuda,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1825.1043999600001,1335.72519055,2370.5700283300002
Cuba,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",2112.4680886700003,1546.36844643,2742.24930735
Grenada,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1887.7375485799998,1403.44583773,2399.40214935
Jamaica,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1852.92704901,1373.4119467799999,2382.7587822
