Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Mozambique,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1929.22663344,1620.8375960899998,2298.5668751
Mauritius,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",923.339255526,776.7979897179999,1117.9819051299999
Malawi,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1750.85594175,1474.3433036,2058.24011896
Rwanda,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1602.2327729099998,1347.98519319,1920.96697411
Somalia,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",2178.6300054999997,1793.25868941,2617.25242553
Zambia,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",2146.58100041,1818.8599092200002,2522.54435598
Kenya,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1236.84842448,1067.5206965500001,1427.59032013
Madagascar,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1675.44092839,1368.18600176,2032.5333216699999
South Sudan,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",2250.94417422,1743.65888827,2869.42971206
Seychelles,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1363.2072576199998,1172.05879884,1583.58939918
Tanzania,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1852.5591797400002,1589.89364303,2211.49621802
Uganda,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1786.0541982299999,1545.37542211,2046.97295105
Zimbabwe,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1328.5452481700001,1070.20063327,1792.14089068
Ethiopia,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1502.12185133,1276.7077085800001,1739.25845965
Eritrea,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1826.29503928,1547.92080253,2132.15568738
Djibouti,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1752.25636563,1441.5274101,2164.58518229
Comoros,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1422.96660928,1199.16635015,1667.8798676000001
Burundi,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",2157.33462972,1792.4985722299998,2610.42009171
Gabon,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1663.87738711,1356.44683306,2023.6890602600001
Equatorial Guinea,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1341.18999417,999.673681014,1742.89681963
Chad,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",2568.84071384,2140.69769698,3115.53303622
Sao Tome and Principe,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1162.03616524,920.683252914,1449.8778284300001
Congo,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1767.7991818000003,1406.5440911800001,2186.80542839
Democratic Republic of the Congo,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",2092.45794132,1594.9058102200001,2771.2525329299997
Cameroon,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",2095.4112215200003,1731.0718963900001,2534.0784897
Central African Republic,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",2951.85023421,2204.17955614,3764.22904069
Angola,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",2130.76678456,1648.19664736,2695.5224739699997
Morocco,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",992.515621834,804.157746011,1204.3763748
Libya,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",910.4910888109999,702.426025734,1140.8372968600002
Tunisia,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",943.1688357090001,742.667244162,1184.12094201
Algeria,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",965.874626826,765.726647838,1213.4714135699999
Namibia,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1324.36273799,1057.13788415,1647.82406449
Swaziland,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1745.9865773,1373.9191546499999,2192.8506767
Lesotho,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1937.33224979,1569.9467659900001,2348.77461379
South Africa,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1376.52348583,1224.1561545099999,1569.3560378500001
Botswana,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1307.22270237,862.2699504280001,1713.9893552
Togo,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1610.0807275299999,1373.6712855800001,1881.77448
Sierra Leone,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",2075.0041782,1705.54003481,2527.82101021
Senegal,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1735.40626905,1477.82971393,2031.5538451399998
Nigeria,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1663.49489868,1353.87519694,2045.0318351600001
Niger,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",2053.04522616,1699.2374075799999,2475.11961991
Mauritania,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1348.2857711200002,1110.6047000400001,1608.7830833199998
Mali,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1914.92247462,1535.3844747399999,2354.54715566
Liberia,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1352.34578427,1143.453628,1564.4462294800003
Guinea-Bissau,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",2332.1506329,1975.1270496799998,2671.41363225
The Gambia,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1479.17178361,1242.19730062,1732.80506706
Guinea,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1999.3534797000002,1710.3394926199999,2317.04938799
Ghana,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1550.79129463,1330.27921995,1794.9761797600002
Cape Verde,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1261.55020046,1030.80771546,1474.3216997700001
Cote d'Ivoire,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",2221.81846113,1905.87236945,2582.3835555699998
Burkina Faso,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",2260.66842301,1870.41515802,2694.13489617
Benin,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1695.13583903,1452.88150147,1953.5781045299998
Dominica,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1273.91256682,1064.23233175,1507.22970796
Dominican Republic,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1006.2013717100001,836.229848198,1207.3209351
Antigua and Barbuda,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1288.00849298,1076.51741307,1507.58267926
Cuba,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1174.65287926,943.1199603770001,1450.3759519
Grenada,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1766.49578157,1471.4377028899999,2106.08922816
Jamaica,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",865.196262716,698.782633769,1068.6051686800001
Trinidad and Tobago,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1124.43905364,936.016388079,1342.09953623
The Bahamas,2016,All ages,Both,Unintentional injuries,"DALYs per 100,000",1328.48388645,1119.14579611,1571.47722764
