Front Title,Back Title,Question,Answer
VPAL,VPAL,VPAL stands for...,Vice Provost for Advances in Learning
X,X,The X in edX stands for...,"Nothing, it just sounded cool."
LXP,LXP,The X in LXP stands for...,"Experience. Yes, it's a word that starts with an E. That's how powerful X is, it can even infect acronyms from other words."
,No title,question,answer
No back,,Question,Answer
No question,Back Title,,Answer
No answer,Back Title,Question,
,,,
Just a title,,,
,Just a back title,,
,,Just a question,,
,,,Just an answer
x,y,z,q
